Province,District_census,district,Area_sqkm,Population_tot,Population_Male,Population_Female,Population_Transgender,Sex_ratio,Pop_density/sqkm,Unban_share,Avg_hhsize,Population1998,Pop_avg_growth_rate
KP,ABBOTTABAD DISTRICT,Abbottabad,"1,967","1,333,089","677,857","655,196",36,103.46,677.73,22.05,6.08,"880,666",2.2
Punjab,ATTOCK DISTRICT,Attock,"6,857","1,886,378","938,650","947,597",131,99.06,275.1,26.02,6.09,"1,274,935",2.08
Balochistan,AWARAN DISTRICT,Awaran,"29,510","121,821","63,063","58,749",9,107.34,4.13,28.1,6.61,"118,173",0.16
Sindh,BADIN DISTRICT,Badin,"6,858","1,804,958","931,177","873,589",192,106.59,263.19,21.63,5,"1,106,272",2.61
Punjab,BAHAWALNAGAR DISTRICT,Bahawalnagar,"8,878","2,975,656","1,510,427","1,464,900",329,103.11,335.17,20.83,6.16,"2,061,447",1.95
Punjab,BAHAWALPUR DISTRICT,Bahawalpur,"24,830","3,669,176","1,879,702","1,789,148",326,105.06,147.77,31.95,6.24,"2,433,091",2.18
FATA,BAJAUR AGENCY,Bajaur Agency,"1,290","1,090,987","556,036","534,895",56,103.95,845.73,NA,8.86,"595,227",3.23
KP,BANNU DISTRICT,Bannu,"1,227","1,167,071","592,625","574,422",24,103.17,951.16,4.28,9.34,"675,667",2.91
Balochistan,BARKHAN DISTRICT,Barkhan,"3,514","171,025","89,911","81,100",14,110.86,48.67,7.13,6.55,"103,545",2.67
KP,BATAGRAM DISTRICT,Batagram,"1,301","476,749","238,402","238,312",35,100.04,366.45,NA,6.88,"307,278",2.33
Punjab,BHAKKAR DISTRICT,Bhakkar,"8,153","1,647,852","843,056","804,669",127,104.77,202.12,15.76,6.12,"1,051,456",2.39
KP,BUNER DISTRICT,Buner,"1,865","895,460","445,872","449,555",33,99.18,480.14,NA,9.36,"506,048",3.04
Balochistan,CHAGAI DISTRICT,Chagai,"44,748","226,517","118,973","107,537",7,110.63,5.06,7.18,6.87,"104,534",4.15
Punjab,CHAKWAL DISTRICT,Chakwal,"6,525","1,495,463","723,178","772,166",119,93.66,229.19,18.96,5.55,"1,083,725",1.71
KP,CHARSADDA DISTRICT,Charsadda,996,"1,610,960","817,651","793,298",11,103.07,1617.43,16.77,7.3,"1,022,364",2.42
Punjab,CHINIOT DISTRICT,Chiniot,"2,643","1,368,659","699,606","668,914",139,104.59,517.84,30.85,6.21,"965,124",1.85
KP,CHITRAL DISTRICT,Chitral,"14,850","447,625","225,669","221,934",22,101.68,30.14,11.12,7.23,"318,689",1.8
Sindh,DADU DISTRICT,Dadu,"7,866","1,550,390","795,700","754,480",210,105.46,197.1,24.73,5.38,"1,106,717",1.79
Balochistan,DERA BUGTI DISTRI,Dera Bugti,"10,160","313,110","165,056","148,053",1,111.48,30.82,32.05,6.65,"181,310",2.91
