"","district","indicator","value","category","unit","source1","source2"
"1","Abbottabad","No Of Eligible Beneficiaries",103186,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"2","Abbottabad","Amount Deposited In Accounts",1238.232,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"3","Abbottabad","No Of Beneficiaries Paid",84086,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"4","Abbottabad","Amount Withdrawn",1020.594,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"5","Abbottabad","Share Of Actual To Eligible Beneficiaries",81.4897369798229,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"6","Abbottabad","Eligible Beneficiaries Relative To District Population",36.2059147286751,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"7","Abbottabad","Actual Beneficiaries Relative To District Population",29.5041046835363,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"8","Attock","No Of Eligible Beneficiaries",98295,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"9","Attock","Amount Deposited In Accounts",1179.54,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"10","Attock","No Of Beneficiaries Paid",83035,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
