admin_3,tehsil_shp,population_total,avg_hh_size,pop_avg_growth_rate
ABBOTTABAD TEHSIL,Abbottabad,982837,6,2.37
AHMADPUR EAST TEHSIL,Ahmadupr East,1078586,6.49,2.16
AHMADPUR SIAL TEHSIL,Ahmedpur Sial,433534,6.66,2.02
ALIPUR TEHSIL,Alai,640384,6.89,2.53
ALLAI TEHSIL,Alipur,180502,6.75,2.09
ALPURI TEHSIL,Alpuri,508361,8.22,2.85
AMBAR UTMAN KHEL TEHSIL,Ambar Utman Khel,61951,8.96,3.75
ARIF WALA TEHSIL,Arif Wala,855029,5.9,1.85
ATTOCK TEHSIL,Attock,435203,6.15,2.71
AWARAN TEHSIL,Awaran,30345,7.06,0.59
BABA KOT TEHSIL,Baba Kot,49480,"6.69
","5.00
"
BABUZAI TEHSIL,Babuzai,599324,8.08,3.32
BADIN TALUKA,Badin,454576,4.93,2.4
BADINI SUB-TEHSIL,Badinai,15345,6.89,4.55
BAHAWALNAGAR TEHSIL,Bahawalnagar,813390,6.08,2.16
BAHAWALPUR CITY TEHSIL,Bahawalpur,682116,5.91,2.59
BAKRANI TALUKA,Bakrani,229200,5.68,1.53
BALA KOT TEHSIL,Balakot,273257,6,1.28
BALNIGORE SUB-TEHSIL,Balnigor,44595,6.19,4.42
BANDA DAUD SHAH TEHSIL,Banda Daud Shah,155482,9.03,2.42
BANNU TEHSIL,Bannu,958103,9.06,2.74
BAR CHAMER KAND TEHSIL,Bar Chamarkand,2868,8.43,0.65
BARA TEHSIL,Bara,443449,8.28,2.33
BARANG TEHSIL,Barang,76493,7.2,2.24
BARIKOT TEHSIL,Barikot,183777,8.05,3.25
BARKHAN TEHSIL,Barkhan,171025,6.55,2.67
BARSHORE SUB-TEHSIL,Barshore,"103,423
",5.97,"0.44
"
BATAGRAM TEHSIL,Batagram,296247,6.97,2.49
BEHRAIN TEHSIL,Bahrain,248422,8.26,3.66
BELA TEHSIL,Bela,104727,5.57,2.27
BESIMA SUB-TEHSIL,Besima,40266,6.66,4.72
BHAG TEHSIL,Bhag,73459,6.56,1.43
BHAKKAR TEHSIL,Bhakkar,683939,6.31,2.54
BHALWAL TEHSIL,Bhalwal,356206,5.57,1.78
BHIRIA TALUKA,Bhiria,301544,5.78,2.07
BIRMIL TEHSIL,Birmal,104282,9.44,3.08
BISHAM TEHSIL,Bisham,105950,8.41,3.24
BULAIDA SUB-TEHSIL,Buleda,77148,7.13,4.2
BULRI SHAH KARIM TALUKA,Bulri Shah Karim,237011,5.12,2.16
BUREWALA TEHSIL,Burewala,1019659,6.27,1.77
CENTRAL KURRAM F.R,Central Kurram,229007,8.14,1.23
CENTRAL ORAKZAI TEHSIL,Central Orakzai,59132,8.91,1.2
CHACHRO TALUKA,Chachro,350807,6.4,3.97
CHAGAI SUB-TEHSIL,Chagai,58256,7.18,"5.12
"
CHAK JHUMRA TEHSIL,Chak Jhumra,332966,6.5,1.44
CHAKWAL TEHSIL,Chakwal,656527,5.6,1.71
CHAMAN TEHSIL,Chaman,434561,8.27,5.68
CHAMBER TALUKA,Chamla,210202,5,2.74
CHARBAGH TEHSIL,Charbagh,126001,8.18,2.86
CHARSADDA TEHSIL,Charsadda,804843,7.3,2.25
CHATTAR SUB-TEHSIL,Chattar,76536,7.91,2.21
CHICHAWATNI TEHSIL,Chichawatni,1024180,6.34,1.39
CHINIOT TEHSIL,Chiniot,555796,6.45,1.98
CHISHTIAN TEHSIL,Chishtian,689766,6.12,1.72
CHOA SAIDAN SHAH TEHSIL,Choa Saidan Shah,141942,5.63,1.58
CHOUBARA TEHSIL,Chaubara,252540,6.83,2.39
CHUNIAN TEHSIL,Chunian,826323,6.47,1.83
DADU TALUKA,Dadu,461665,5.39,1.81
DAGGAR TEHSIL,Daggar,354809,10.12,3.14
DAHARKI TALUKA,Daharki,310709,5.75,2.97
DAHLI TALUKA,Dalbandin,305529,7.17,3.28
DARABAN TEHSIL,Daraban,124318,8.22,2.79
DASHT SUB-TEHSIL,Dasht (Kech),76470,6.86,3.59
DASHT TEHSIL,Dasht (Mastung),64765,"6.34
",5.22
DASKA TEHSIL,Daska,847117,6.87,1.78
DATTA KHEL TEHSIL,Data Khel,75003,8.47,1.99
DAUR TALUKA,Daur,477993,5.53,2.39
DE-EXCLUDED AREA D.G KHAN T,De-excluded Area D.G.Khan,212652,7.35,2.78
DE-EXCLUDED AREA RAJANPUR,De- Excluded Area Rajanpur,34191,6.56,4.78
DEPALPUR TEHSIL,Depalpur,1375785,6.09,1.53
DERA BUGTI TEHSIL,Dera Bugti,48415,6.54,2.13
DERA GHAZI KHAN TEHSIL,Dera Ghazi Khan,1224964,8.5,2.88
DERA ISMAIL KHAN TEHSIL,Dera Ismail Khan,725449,7.86,3.71
DERA MURAD JAMALI TEHSIL,Dera Murad Jamali,230775,7.33,4.27
DIGRI TALUKA,Digri,214017,5.37,1.98
DINA TEHSIL,Dina,238465,6,1.39
DIPLO TALUKA,Diplo,148871,4.54,2.56
DOKRI TALUKA,Dokri,224959,5.83,1.51
DOMEL TEHSIL,Domel,208968,10.98,3.8
DOSSALI TEHSIL,Dossali,39945,9.33,3.57
DUKI TEHSIL,Duki,152977,6.85,1.47
DUNYAPUR TEHSIL,Dunyapur,495217,6.36,1.84
DUREJI TEHSIL,Dureji,45541,5.21,1.95
FAISALABAD CITY TEHSIL,Faisalabad City,3244259,6.3,2.21
FAISALABAD SADAR TEHSIL,Faisalabad Saddar,1465027,6.54,2.45
FAIZ GANJ TALUKA,Faiz Ganj,224088,5.18,2.26
FATEH JANG TEHSIL,Fateh Jang,326433,6.26,2.24
FEROZEWALA TEHSIL,Ferozewala,794489,6.62,3.72
FORT ABBAS TEHSIL,Fort Abbas,422768,6.27,2.08
GADDANI TEHSIL,Gaddani,24593,5.8,1.38
GAGRA TEHSIL,Gagra,269971,9.59,3.07
GAMBAT TALUKA,Gambat,263218,6.11,2.22
GANDAWA TEHSIL,Gandawa,51180,6.08,2.05
GANDHAKA TEHSIL,Gandakha,74881,"5.93
","1.86
"
GARHI KHAIRO TALUKA,Garhi Khairo,159019,5.57,1.62
GARHI YASIN TALUKA,Garhi Yasin,316573,5.96,1.74
GHARYUM TEHSIL,Garyum,11811,6.85,5.97
GHAZI TEHSIL,Ghazi,144917,5.8,1.31
GHORABARI TALUKA,Ghorabari,174046,5.27,2.67
GHOTKI TALUKA,Ghotki,507087,5.52,2.82
GHULAM KHAN TEHSIL,Ghulam Khan,27015,7.56,3.81
GICHK SUB-TEHSIL,Gichk,16646,8.37,1.59
GOJRA TEHSIL,Gojra,657222,6.53,1.5
GUJAR KHAN TEHSIL,Gujar Khan,678062,6.1,1.68
GUJRANWALA CITY TEHSIL,Gujranwala,259764,6.68,4.37
GUJRAT TEHSIL,Gujrat,1497706,6.23,1.67
GULISTAN TEHSIL,Gwadar,61741,7.48,3.68
HAFIZABAD TEHSIL,Hafizabad,663916,6.65,1.66
HALA TALUKA,Hala,262639,5.77,2.57
HALIM ZAI TEHSIL,Halimzai,78705,8.81,2.59
HANGU TEHSIL,Hangu,270399,10.07,2.69
HARIPUR TEHSIL,Haripur,856598,6.12,2.08
HARNAI TEHSIL,Harnai,64056,5.7,1.15
HAROONABAD TEHSIL,Haroonabad,524715,6.12,1.68
HASAN ABDAL TEHSIL,Hassan Abdal,217109,6.63,2.49
HASILPUR TEHSIL,Hasilpur,456360,6.05,1.92
HAZRO TEHSIL,Hazro,340189,6.33,1.87
HUB TEHSIL,Hub,205487,7.66,5.02
HYDERABAD CITY TALUKA,Hyderabad City,725153,5.03,1.71
HYDERABAD TALUKA,Hyderabad,466306,5.11,2.52
ISAKHEL TEHSIL,Isakhel,374194,6.77,2
ISMAIL ZAI TEHSIL,Ismailzai,23963,8.28,0.97
JACOBABAD TALUKA,Jacobabad,382578,5.83,1.89
JAHANIAN TEHSIL,Jahanian,343425,6.47,1.69
JALALPUR PIRWALA TEHSIL,Jalalpur Pirwala,554971,6.13,2.23
JAM NAWAZ ALI TALUKA,Jan Nawaz Ali,153193,5.43,2.83
JAMPUR TEHSIL,Jampur,849389,7.67,2.99
JAMRUD TEHSIL,Jamrud,227557,8.31,4.63
JAND TEHSIL,Jand,295513,5.52,1.36
JARANWALA TEHSIL,Jaranwala,1493923,6.53,1.81
